"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017000,4,,4,,91,,5,,89,,4,,89,,4,,91,,85,,747,,21,,
017009,4,,4,,92,,5,,90,,4,,89,,4,,93,,87,,306,,33,,
017013,5,,5,,92,,5,,93,,5,,91,,5,,94,,90,,174,,29,,
017014,5,,5,,93,,5,,89,,5,,91,,4,,90,,85,,121,,24,,
017016,4,,4,,92,,4,,88,,4,,88,,3,,86,,87,,173,,25,,
017018,5,,5,,93,,5,,92,,4,,88,,4,,91,,87,,323,,26,,
017020,5,,5,,92,,5,,89,,4,,85,,4,,89,,80,,318,,24,,
017024,4,,4,,90,,4,,88,,4,,86,,3,,85,,81,,392,,26,,
017025,4,,4,,90,,3,,85,,3,,82,,4,,89,,87,,197,,20,,
017026,4,,4,,90,,4,,89,,3,,83,,4,,86,,80,,293,,21,,
017027,4,,4,,92,,5,,90,,4,,89,,4,,87,,80,,547,,27,,
017034,4,,4,,93,,5,,92,,4,,86,,4,,91,,83,,218,,20,,
017035,4,,4,,91,,4,,87,,3,,83,,3,,85,,79,,339,,20,,
017037,3,,3,,87,,2,,82,,4,,86,,3,,86,,76,,191,,24,,
017039,3,,3,,88,,4,,87,,3,,82,,3,,86,,79,,368,,21,,
017048,5,,5,,95,,5,,93,,5,,91,,5,,95,,92,,156,,32,,
017050,Not Available,"10,11",Not Available,"10,11",87,"10,11",Not Available,"10,11",83,"10,11",Not Available,"10,11",83,"10,11",Not Available,"10,11",84,"10,11",79,"10,11",30,"10,11",31,"10,11","10,11"
017051,4,,4,,89,,5,,88,,3,,79,,3,,84,,82,,308,,21,,
017052,4,,4,,89,,4,,87,,3,,81,,4,,88,,82,,271,,29,,
017053,4,,4,,92,,5,,89,,4,,88,,4,,90,,88,,266,,30,,
017054,4,,3,,89,,5,,90,,3,,82,,3,,88,,84,,244,,19,,
017055,5,,5,,93,,5,,90,,3,,83,,5,,92,,84,,227,,27,,
017056,3,,2,,87,,4,,85,,3,,78,,2,,81,,76,,141,,17,,
017058,5,,5,,93,,5,,91,,4,,87,,5,,92,,88,,332,,26,,
017063,Not Available,9,Not Available,9,100,9,Not Available,9,97,9,Not Available,9,89,9,Not Available,9,100,9,100,9,9,9,33,9,9
017066,3,,3,,88,,4,,87,,3,,83,,3,,83,,75,,267,,26,,
017069,4,,4,,92,,5,,90,,4,,88,,4,,90,,84,,326,,30,,
017070,5,,5,,93,,5,,92,,4,,88,,4,,90,,84,,152,,25,,
017071,4,,4,,93,,5,,90,,4,,86,,4,,88,,85,,297,,25,,
017072,5,,5,,94,,5,,93,,4,,87,,4,,88,,85,,97,,26,,
017078,5,,5,,93,,5,,90,,5,,90,,5,,93,,86,,133,,27,,
017079,5,,5,,95,,5,,96,,4,,89,,5,,95,,93,,87,,33,,
017080,4,,4,,92,,5,,89,,4,,89,,4,,90,,85,,230,,21,,
017082,3,,3,,86,,3,,85,,4,,84,,2,,81,,68,,232,,15,,
017084,4,,4,,92,,5,,92,,4,,86,,4,,87,,80,,107,,22,,
017085,3,,3,,90,,4,,87,,4,,85,,2,,82,,80,,182,,26,,
017086,5,11,5,11,94,11,5,11,94,11,5,11,92,11,4,11,89,11,87,11,62,11,25,11,11
017088,5,,5,,93,,5,,90,,4,,87,,4,,91,,90,,128,,31,,
017089,4,,4,,91,,5,,90,,4,,86,,4,,89,,81,,235,,34,,
017090,5,,5,,95,,5,,93,,4,,87,,4,,92,,91,,102,,24,,
017091,4,,4,,91,,4,,88,,4,,86,,5,,94,,83,,107,,52,,
017092,5,11,5,11,95,11,4,11,84,11,5,11,90,11,5,11,97,11,91,11,50,11,33,11,11
017093,4,,4,,92,,5,,91,,4,,85,,4,,92,,82,,120,,24,,
017094,5,,5,,94,,5,,93,,4,,87,,5,,96,,95,,159,,31,,
017095,3,,3,,88,,4,,87,,3,,80,,3,,83,,77,,162,,28,,
017096,4,,4,,90,,5,,88,,3,,82,,4,,90,,80,,130,,23,,
017097,5,,5,,92,,5,,91,,4,,89,,4,,90,,87,,88,,30,,
017100,4,,4,,93,,5,,89,,4,,87,,3,,83,,85,,75,,29,,
017103,Not Available,11,Not Available,11,98,11,Not Available,11,89,11,Not Available,11,87,11,Not Available,11,99,11,100,11,14,11,25,11,11
017104,5,,5,,96,,5,,93,,5,,92,,5,,92,,86,,113,,39,,
017106,5,11,5,11,98,11,5,11,95,11,4,11,88,11,5,11,98,11,92,11,52,11,30,11,11
017107,5,,5,,93,,5,,90,,5,,93,,5,,92,,88,,151,,23,,
017109,Not Available,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,95,11,Not Available,11,93,11,94,11,27,11,34,11,11
017112,5,,5,,95,,5,,91,,5,,94,,5,,96,,91,,96,,26,,
017115,4,,4,,91,,5,,89,,4,,87,,4,,89,,76,,115,,26,,
017116,5,,5,,92,,5,,90,,4,,87,,4,,90,,92,,291,,41,,
017117,3,,4,,91,,4,,89,,3,,83,,2,,84,,82,,186,,42,,
017118,4,,4,,89,,5,,87,,4,,88,,4,,89,,76,,170,,24,,
017119,4,,4,,90,,4,,86,,4,,86,,3,,87,,81,,502,,26,,
017121,5,,5,,94,,5,,94,,4,,87,,5,,94,,94,,159,,33,,
017123,5,,5,,92,,5,,90,,4,,88,,4,,90,,87,,149,,28,,
017124,5,,5,,93,,5,,92,,5,,90,,4,,90,,88,,125,,46,,
017125,4,,4,,91,,5,,89,,4,,86,,4,,89,,83,,311,,27,,
017128,5,,5,,93,,5,,94,,4,,88,,5,,92,,89,,475,,28,,
017129,4,,4,,92,,5,,88,,4,,89,,4,,88,,89,,284,,27,,
017132,4,,4,,92,,5,,88,,3,,82,,4,,86,,77,,81,,19,,
017134,4,,4,,92,,5,,92,,4,,89,,4,,90,,87,,345,,30,,
017135,5,11,5,11,95,11,5,11,94,11,5,11,94,11,5,11,94,11,89,11,56,11,34,11,11
017136,3,,2,,85,,3,,84,,3,,83,,3,,80,,77,,77,,36,,
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017142,5,,5,,94,,5,,91,,5,,90,,4,,88,,85,,121,,25,,
017143,5,,4,,91,,5,,90,,5,,90,,4,,91,,87,,132,,27,,
017145,4,,4,,92,,5,,92,,4,,89,,4,,92,,85,,316,,25,,
017146,Not Available,11,Not Available,11,96,11,Not Available,11,96,11,Not Available,11,91,11,Not Available,11,94,11,86,11,36,11,30,11,11
017147,5,,5,,93,,5,,89,,5,,91,,4,,88,,80,,87,,32,,
017148,4,,4,,91,,5,,88,,4,,88,,4,,90,,86,,204,,22,,
017149,4,,4,,91,,5,,89,,4,,88,,4,,89,,80,,348,,22,,
017151,4,,4,,92,,5,,91,,4,,86,,4,,91,,84,,146,,28,,
017152,5,,5,,94,,5,,90,,5,,90,,5,,91,,93,,91,,26,,
017153,4,,4,,92,,5,,91,,4,,84,,4,,88,,79,,302,,20,,
017154,4,,4,,92,,5,,90,,3,,82,,5,,94,,83,,116,,23,,
017155,4,,4,,90,,4,,84,,4,,87,,4,,87,,80,,305,,28,,
017157,4,,4,,91,,5,,89,,4,,85,,4,,87,,82,,125,,23,,
017158,4,,4,,91,,5,,89,,4,,87,,4,,88,,82,,293,,27,,
017159,4,,4,,91,,5,,88,,3,,82,,4,,90,,83,,287,,24,,
017160,4,,4,,90,,4,,89,,4,,85,,4,,88,,81,,88,,32,,
017161,3,,4,,90,,4,,84,,3,,80,,2,,79,,78,,212,,20,,
017163,4,,4,,90,,5,,89,,4,,89,,4,,86,,81,,128,,25,,
017164,4,,4,,91,,5,,88,,3,,81,,3,,87,,84,,308,,30,,
017165,5,,5,,93,,5,,91,,4,,86,,5,,92,,87,,254,,24,,
017166,4,,4,,89,,5,,93,,3,,82,,3,,86,,79,,118,,24,,
017167,4,,5,,95,,5,,91,,3,,78,,4,,91,,79,,76,,19,,
017168,4,,4,,89,,4,,86,,5,,91,,3,,87,,76,,194,,22,,
017170,5,,5,,93,,5,,88,,4,,87,,4,,91,,88,,161,,24,,
017171,4,,4,,91,,5,,90,,4,,86,,4,,88,,81,,231,,28,,
017175,4,,4,,91,,5,,90,,4,,85,,4,,88,,85,,224,,25,,
017176,3,,3,,87,,2,,77,,4,,87,,2,,78,,70,,103,,17,,
017177,4,,4,,92,,4,,89,,5,,90,,4,,92,,82,,174,,25,,
017178,5,,5,,94,,5,,90,,4,,85,,4,,92,,84,,336,,23,,
017179,4,,4,,89,,4,,86,,3,,83,,3,,86,,76,,330,,20,,
017180,3,,3,,88,,3,,84,,3,,81,,3,,81,,76,,170,,22,,
017182,5,11,5,11,96,11,5,11,93,11,4,11,86,11,5,11,94,11,86,11,50,11,22,11,11
017300,4,,4,,92,,5,,89,,4,,88,,4,,90,,88,,362,,26,,
017305,4,,4,,91,,4,,87,,4,,85,,4,,90,,87,,301,,25,,
017307,4,,4,,92,,4,,88,,5,,91,,4,,92,,83,,122,,21,,
017319,4,,4,,90,,4,,85,,3,,82,,3,,85,,76,,302,,22,,
017320,5,,5,,93,,5,,90,,4,,88,,4,,90,,88,,367,,25,,
017323,5,,4,,91,,5,,92,,5,,91,,4,,90,,86,,90,,42,,
017324,4,,4,,90,,5,,88,,4,,86,,4,,90,,81,,294,,29,,
017326,4,,4,,91,,5,,88,,5,,91,,3,,88,,81,,333,,34,,
017327,4,,4,,91,,5,,89,,4,,85,,4,,89,,86,,198,,31,,
017328,5,,5,,94,,5,,90,,5,,90,,5,,95,,89,,149,,27,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,11,5,11,95,11,5,11,91,11,4,11,89,11,4,11,93,11,93,11,68,11,20,11,11
017879,5,11,5,11,96,11,5,11,89,11,5,11,92,11,5,11,92,11,85,11,64,11,28,11,11
